trigger_bps,total_return_pct,final_equity,total_trades,win_rate,profit_factor,max_drawdown_pct,sharpe_ratio
5,-0.23,9977.14,1,0.0,0.0,-99.21,1.16
7,-0.23,9977.14,1,0.0,0.0,-99.21,1.16
9,-0.23,9977.14,1,0.0,0.0,-99.21,1.16
11,-0.23,9977.14,1,0.0,0.0,-99.21,1.16
13,-0.23,9977.14,1,0.0,0.0,-99.21,1.16
15,-0.23,9977.14,1,0.0,0.0,-99.21,1.16
17,-0.23,9977.14,1,0.0,0.0,-99.21,1.16
20,-0.23,9977.14,1,0.0,0.0,-99.21,1.16
