min_atr_pct,total_return_pct,final_equity,total_trades,win_rate,profit_factor,max_drawdown_pct
0.01,-0.23,9977.14,1,0.0,0.0,
0.03,-0.23,9977.14,1,0.0,0.0,
0.05,-0.23,9977.14,1,0.0,0.0,
0.08,-0.23,9977.14,1,0.0,0.0,
0.1,-0.23,9977.14,1,0.0,0.0,
0.15,-0.23,9977.14,1,0.0,0.0,
0.2,-0.23,9977.14,1,0.0,0.0,
