timestamp,open,high,low,close,volume
2025-10-24 01:30:00,3862.85,3867.2,3862.26,3867.19,3.18943161
2025-10-24 01:35:00,3867.18,3874.13,3867.17,3874.01,12.74787126
2025-10-24 01:40:00,3874.01,3877.84,3874.0,3877.83,4.84938576
2025-10-24 01:45:00,3877.83,3884.03,3877.82,3878.74,6.1238329
2025-10-24 01:50:00,3877.82,3884.18,3877.82,3882.33,1.29995568
2025-10-24 01:55:00,3880.87,3883.61,3880.85,3883.6,5.85413235
2025-10-24 02:00:00,3883.61,3883.61,3879.16,3880.01,29.21936667
2025-10-24 02:05:00,3880.0,3880.96,3880.0,3880.33,28.50106512
2025-10-24 02:10:00,3880.34,3880.34,3880.0,3880.01,6.46879356
2025-10-24 02:15:00,3880.01,3882.6,3876.46,3876.66,28.27461486
2025-10-24 02:20:00,3876.47,3877.3,3873.21,3873.44,4.71986808
2025-10-24 02:25:00,3872.26,3877.79,3872.26,3877.16,0.67061305
2025-10-24 02:30:00,3877.16,3886.23,3877.16,3883.51,13.94410066
2025-10-24 02:35:00,3883.5,3886.23,3880.47,3880.47,4.83992451
2025-10-24 02:40:00,3880.47,3887.12,3880.46,3887.12,4.51203107
2025-10-24 02:45:00,3887.12,3890.45,3887.11,3887.85,22.87358233
2025-10-24 02:50:00,3887.45,3895.38,3887.38,3895.38,13.82603468
2025-10-24 02:55:00,3894.9,3896.19,3890.65,3891.31,148.66534304
2025-10-24 03:00:00,3891.31,3892.7,3884.5,3884.5,360.22825047
2025-10-24 03:05:00,3884.51,3884.51,3884.5,3884.51,1.26851672
2025-10-24 03:10:00,3884.51,3891.79,3884.5,3886.82,6.47825911
2025-10-24 03:15:00,3886.82,3887.3,3884.77,3887.3,3.65487193
2025-10-24 03:20:00,3887.3,3892.06,3887.29,3890.82,28.28885479
2025-10-24 03:25:00,3890.33,3891.46,3887.42,3887.42,41.4368024
2025-10-24 03:30:00,3887.3,3887.3,3882.95,3882.96,10.20781792
2025-10-24 03:35:00,3882.96,3885.35,3882.95,3882.96,7.42062724
2025-10-24 03:40:00,3882.96,3886.52,3882.95,3886.08,2.27457548
2025-10-24 03:45:00,3886.09,3886.09,3882.25,3882.3,2.33749559
2025-10-24 03:50:00,3882.31,3888.44,3882.3,3888.44,5.88288908
2025-10-24 03:55:00,3888.43,3893.28,3888.43,3893.11,13.80082036
2025-10-24 04:00:00,3893.11,3893.11,3888.8,3888.98,35.98517008
2025-10-24 04:05:00,3889.71,3895.0,3889.71,3894.72,40.31661597
2025-10-24 04:10:00,3894.72,3899.38,3894.71,3899.38,10.41074335
2025-10-24 04:15:00,3899.38,3906.1,3899.24,3899.24,142.89942969
2025-10-24 04:20:00,3899.32,3912.11,3899.32,3910.5,24.46306829
2025-10-24 04:25:00,3909.92,3919.31,3909.92,3918.0,36.58575685
2025-10-24 04:30:00,3918.0,3960.0,3918.0,3953.09,158.79072623
2025-10-24 04:35:00,3953.09,3956.84,3946.78,3950.33,64.58474146
2025-10-24 04:40:00,3949.82,3965.12,3949.82,3965.11,72.04536295
2025-10-24 04:45:00,3964.49,3972.23,3960.32,3963.63,140.77539334
2025-10-24 04:50:00,3966.43,3976.0,3965.62,3976.0,16.30455131
2025-10-24 04:55:00,3975.93,3978.18,3974.07,3975.2,455.80432086
2025-10-24 05:00:00,3974.93,3977.54,3958.59,3959.28,1093.70122598
2025-10-24 05:05:00,3959.28,3977.18,3959.28,3975.0,29.20873167
2025-10-24 05:10:00,3975.01,3975.01,3967.97,3967.97,153.08639995
2025-10-24 05:15:00,3968.0,3972.66,3966.39,3966.69,11.02503639
2025-10-24 05:20:00,3966.46,3966.47,3960.14,3964.07,17.30610705
2025-10-24 05:25:00,3964.07,3968.98,3964.06,3968.97,3.38951045
2025-10-24 05:30:00,3968.97,3972.62,3965.17,3971.14,48.32830072
2025-10-24 05:35:00,3971.57,3978.18,3971.57,3973.71,4.32843677
2025-10-24 05:40:00,3974.83,3975.5,3971.61,3973.1,33.46770248
2025-10-24 05:45:00,3974.75,3988.03,3974.68,3988.02,582.83544941
2025-10-24 05:50:00,3988.02,3988.03,3978.54,3978.54,6.61466831
2025-10-24 05:55:00,3976.61,3976.62,3973.82,3975.61,151.02474539
2025-10-24 06:00:00,3975.61,3976.67,3969.63,3972.46,167.5924817
