timestamp,open,high,low,close,volume
2025-09-14 10:00:00,247.8,248.22,247.13,247.8,16486.4830057
2025-09-14 11:00:00,247.77,248.0,245.75,246.22,7372.12629111
2025-09-14 12:00:00,246.23,246.68,244.23,245.34,16032.81485177
2025-09-14 13:00:00,245.34,245.9,243.51,243.86,12299.22656494
2025-09-14 14:00:00,243.9,245.1,241.7,243.4,29558.95658319
2025-09-14 15:00:00,243.4,244.3,242.0,243.88,10643.90970995
2025-09-14 16:00:00,243.89,246.58,243.59,245.12,32302.32284925
2025-09-14 17:00:00,245.26,248.4,244.7,248.14,14171.20167819
2025-09-14 18:00:00,248.14,248.14,244.86,244.86,10348.30974496
2025-09-14 19:00:00,244.86,245.35,242.31,242.58,15426.97317225
2025-09-14 20:00:00,242.58,243.51,241.29,242.58,16361.12944847
2025-09-14 21:00:00,242.57,244.73,240.49,243.99,18257.77871394
2025-09-14 22:00:00,244.06,244.06,240.98,243.09,12112.62594567
2025-09-14 23:00:00,243.09,243.09,239.36,240.02,15861.891882
2025-09-15 00:00:00,240.02,242.1,239.82,240.88,7144.57776359
2025-09-15 01:00:00,240.86,241.79,239.2,241.15,5199.1533503
2025-09-15 02:00:00,241.15,242.76,240.38,242.11,3043.53813685
2025-09-15 03:00:00,242.18,243.35,242.11,242.81,2531.73299253
2025-09-15 04:00:00,242.81,243.44,242.23,242.84,7892.56275029
2025-09-15 05:00:00,242.9,244.0,242.83,243.99,5251.39584583
2025-09-15 06:00:00,244.0,244.0,239.78,240.41,16451.08347328
2025-09-15 07:00:00,240.4,241.1,236.2,238.07,23514.20216398
2025-09-15 08:00:00,238.07,238.07,232.0,232.15,60325.09079174
2025-09-15 09:00:00,232.14,235.59,231.28,235.59,31921.74459898
2025-09-15 10:00:00,235.59,236.9,234.23,236.33,21858.64983117
2025-09-15 11:00:00,236.33,237.01,235.34,236.54,9813.43215348
2025-09-15 12:00:00,236.53,238.0,234.52,234.92,22536.36478326
2025-09-15 13:00:00,234.91,237.1,234.3,235.41,19017.27667585
2025-09-15 14:00:00,235.41,235.67,233.0,233.51,17023.16363231
2025-09-15 15:00:00,233.51,234.39,232.2,233.04,16522.74047821
2025-09-15 16:00:00,233.02,233.57,230.85,231.46,17012.16608183
2025-09-15 17:00:00,231.46,233.34,230.27,233.34,7882.85330207
2025-09-15 18:00:00,233.32,233.53,232.4,233.37,7872.90353161
2025-09-15 19:00:00,233.35,234.69,232.05,233.21,8308.87915869
2025-09-15 20:00:00,233.0,234.48,232.81,234.41,9635.91843896
2025-09-15 21:00:00,234.41,235.28,233.87,235.26,6798.21169728
2025-09-15 22:00:00,235.25,235.39,233.87,234.02,2321.70279185
2025-09-15 23:00:00,234.02,234.47,233.29,234.47,3674.37956437
2025-09-16 00:00:00,234.39,234.6,232.98,233.79,3917.77530683
2025-09-16 01:00:00,233.8,235.68,233.8,234.1,4929.83567058
2025-09-16 02:00:00,234.09,235.0,234.01,234.1,2109.29290061
2025-09-16 03:00:00,234.01,235.74,234.0,235.22,2953.45563989
2025-09-16 04:00:00,235.23,235.23,233.03,234.59,10909.65374998
2025-09-16 05:00:00,234.55,236.54,234.47,236.54,5426.00505801
2025-09-16 06:00:00,236.54,237.0,234.79,235.87,3911.95981091
2025-09-16 07:00:00,235.87,236.27,235.44,235.65,5558.22612276
2025-09-16 08:00:00,235.76,236.78,235.14,236.07,5983.58227923
2025-09-16 09:00:00,236.08,236.33,234.92,235.31,1768.19391077
2025-09-16 10:00:00,235.31,235.92,234.9,235.31,6363.60081871
2025-09-16 11:00:00,235.32,235.89,234.9,235.29,2462.8029801
2025-09-16 12:00:00,235.3,235.9,234.49,235.21,4311.0977255
2025-09-16 13:00:00,235.2,235.6,230.79,233.0,14981.42008697
2025-09-16 14:00:00,233.05,234.31,231.32,234.2,12216.36975554
2025-09-16 15:00:00,234.2,238.01,233.14,237.77,13857.93436063
2025-09-16 16:00:00,237.77,239.24,236.25,238.33,30813.72178874
2025-09-16 17:00:00,238.33,240.93,237.92,238.3,36082.3551685
2025-09-16 18:00:00,238.31,239.07,236.91,237.68,12141.65114304
2025-09-16 19:00:00,237.68,238.48,237.19,237.86,35562.94903182
2025-09-16 20:00:00,237.85,238.41,237.37,238.35,7131.92245421
2025-09-16 21:00:00,238.35,238.8,237.37,238.48,7878.36620971
2025-09-16 22:00:00,238.48,238.89,237.5,237.97,6067.54172346
2025-09-16 23:00:00,237.97,238.27,236.73,236.97,7211.31242628
2025-09-17 00:00:00,236.98,237.08,235.82,236.26,5315.05511944
2025-09-17 01:00:00,236.26,237.01,236.01,236.31,7620.29836101
2025-09-17 02:00:00,236.31,237.87,236.0,236.48,2939.13401309
2025-09-17 03:00:00,236.43,236.5,234.0,234.02,9885.34193193
2025-09-17 04:00:00,234.03,234.8,233.7,233.78,8714.84295217
2025-09-17 05:00:00,233.78,235.37,233.44,235.16,6856.42230669
2025-09-17 06:00:00,235.16,236.6,235.0,236.26,3997.01053368
2025-09-17 07:00:00,236.06,238.15,235.93,237.77,5702.02762106
2025-09-17 08:00:00,237.78,237.8,235.31,235.99,2784.00402196
2025-09-17 09:00:00,235.96,236.3,235.29,235.31,3596.50436898
2025-09-17 10:00:00,235.3,236.32,233.86,234.23,5262.27998422
2025-09-17 11:00:00,234.24,234.7,233.99,234.23,2560.11660037
2025-09-17 12:00:00,234.24,235.27,234.06,234.83,9434.82779779
2025-09-17 13:00:00,234.73,236.04,234.3,235.52,4809.56755019
2025-09-17 14:00:00,235.52,235.93,233.76,234.01,5814.18388145
2025-09-17 15:00:00,234.01,235.16,233.5,233.99,21837.94484958
2025-09-17 16:00:00,234.0,234.69,232.5,234.25,9377.24329331
2025-09-17 17:00:00,234.26,236.99,232.74,232.75,28695.04026059
2025-09-17 18:00:00,232.74,238.27,232.39,233.6,38859.33805758
2025-09-17 19:00:00,233.59,239.21,233.59,238.93,33479.81701207
2025-09-17 20:00:00,238.92,241.27,237.79,238.16,22673.79031998
2025-09-17 21:00:00,238.14,240.7,236.1,240.32,11809.61151506
2025-09-17 22:00:00,240.32,245.73,240.31,244.94,59695.02722756
2025-09-17 23:00:00,244.96,246.72,243.91,244.85,25207.47209487
2025-09-18 00:00:00,244.85,246.0,244.21,244.9,9935.66274443
2025-09-18 01:00:00,244.91,247.56,244.61,246.47,13500.11152456
2025-09-18 02:00:00,246.47,246.63,245.28,246.52,8940.6211374
2025-09-18 03:00:00,246.52,247.8,246.24,246.78,11709.90340946
2025-09-18 04:00:00,246.88,246.94,245.68,246.29,12112.6600363
2025-09-18 05:00:00,246.29,246.36,244.43,244.94,11628.28759446
2025-09-18 06:00:00,244.96,245.0,242.65,244.34,16555.27173014
2025-09-18 07:00:00,244.29,245.35,244.28,244.73,5221.52867745
2025-09-18 08:00:00,244.72,247.21,244.46,247.0,18978.54555896
2025-09-18 09:00:00,246.97,247.1,246.21,247.04,11191.0018135
2025-09-18 10:00:00,247.14,247.14,245.5,246.15,3223.44037112
2025-09-18 11:00:00,246.16,247.02,245.75,246.04,6298.5133999
2025-09-18 12:00:00,246.04,246.9,245.97,246.1,13416.26812651
2025-09-18 13:00:00,246.11,248.19,245.11,245.96,32244.44785624
2025-09-18 14:00:00,246.25,248.0,246.25,247.94,13810.80230511
2025-09-18 15:00:00,247.79,249.0,247.4,248.31,17694.93025789
2025-09-18 16:00:00,248.32,250.18,247.66,249.98,29021.61762659
2025-09-18 17:00:00,249.99,253.5,249.4,251.41,61680.30323968
2025-09-18 18:00:00,251.41,251.48,249.74,250.57,29443.11692636
2025-09-18 19:00:00,250.56,250.57,247.37,248.55,34435.05910544
2025-09-18 20:00:00,248.49,249.22,248.1,248.55,18612.06150059
2025-09-18 21:00:00,248.56,248.7,247.67,247.68,4222.4115494
2025-09-18 22:00:00,247.68,248.18,246.98,247.22,22588.25118117
2025-09-18 23:00:00,247.2,247.65,245.51,247.65,23183.53691996
2025-09-19 00:00:00,247.64,248.54,247.28,248.25,17377.02546715
2025-09-19 01:00:00,248.25,248.63,246.97,247.72,5614.64597866
2025-09-19 02:00:00,247.71,248.11,246.58,246.81,2710.52383929
2025-09-19 03:00:00,246.81,247.85,244.85,245.0,11548.49115952
2025-09-19 04:00:00,245.0,245.45,242.76,245.3,35224.14214565
2025-09-19 05:00:00,245.3,245.75,244.46,245.7,4379.24669067
2025-09-19 06:00:00,245.7,245.7,243.6,243.66,3873.93064342
2025-09-19 07:00:00,243.67,244.88,243.31,244.12,10830.55156775
2025-09-19 08:00:00,244.12,244.88,243.61,243.89,5442.25220382
